"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"CENSUS","2022","YEAR","","COUNTY","NEW MEXICO","35","NORTHEAST","30","COLFAX","007","","","00000000","","HAY","HAY, (EXCL ALFALFA) - OPERATIONS WITH AREA HARVESTED","TOTAL","NOT SPECIFIED","17","21.2"
"CENSUS","2022","YEAR","","COUNTY","NEW MEXICO","35","NORTHEAST","30","COLFAX","007","","","00000000","","HAY","HAY, (EXCL ALFALFA) - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","3,458","13.1"
"CENSUS","2022","YEAR","","COUNTY","NEW MEXICO","35","NORTHEAST","30","COLFAX","007","","","00000000","","HAY","HAY, (EXCL ALFALFA), IRRIGATED - ACRES HARVESTED","TOTAL","NOT SPECIFIED","2,601","18.0"
"CENSUS","2022","YEAR","","COUNTY","NEW MEXICO","35","NORTHEAST","30","COLFAX","007","","","00000000","","HAY","HAY, (EXCL ALFALFA), IRRIGATED - OPERATIONS WITH AREA HARVESTED","TOTAL","NOT SPECIFIED","17","20.1"
"CENSUS","2022","YEAR","","COUNTY","NEW MEXICO","35","NORTHEAST","30","COLFAX","007","","","00000000","","HAY","HAY, ALFALFA - ACRES HARVESTED","TOTAL","NOT SPECIFIED","4,690","18.3"
"CENSUS","2022","YEAR","","COUNTY","NEW MEXICO","35","NORTHEAST","30","COLFAX","007","","","00000000","","HAY","HAY, ALFALFA - OPERATIONS WITH AREA HARVESTED","TOTAL","NOT SPECIFIED","51","15.1"
"CENSUS","2022","YEAR","","COUNTY","NEW MEXICO","35","NORTHEAST","30","COLFAX","007","","","00000000","","HAY","HAY, ALFALFA - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","22,116","24.9"
"CENSUS","2022","YEAR","","COUNTY","NEW MEXICO","35","NORTHEAST","30","COLFAX","007","","","00000000","","HAY","HAY, ALFALFA, IRRIGATED - ACRES HARVESTED","TOTAL","NOT SPECIFIED","3,550","17.6"
"CENSUS","2022","YEAR","","COUNTY","NEW MEXICO","35","NORTHEAST","30","COLFAX","007","","","00000000","","HAY","HAY, ALFALFA, IRRIGATED - OPERATIONS WITH AREA HARVESTED","TOTAL","NOT SPECIFIED","45","15.6"
"CENSUS","2022","YEAR","","COUNTY","NEW MEXICO","35","NORTHEAST","30","COLFAX","007","","","00000000","","HAY","HAY, IRRIGATED - ACRES HARVESTED","TOTAL","NOT SPECIFIED","6,151","17.1"
"CENSUS","2022","YEAR","","COUNTY","NEW MEXICO","35","NORTHEAST","30","COLFAX","007","","","00000000","","HAY","HAY, IRRIGATED - OPERATIONS WITH AREA HARVESTED","TOTAL","NOT SPECIFIED","52","14.3"
"CENSUS","2022","YEAR","","COUNTY","NEW MEXICO","35","NORTHEAST","30","COLFAX","007","","","00000000","","HAY & HAYLAGE","HAY & HAYLAGE - ACRES HARVESTED","TOTAL","NOT SPECIFIED","7,493","17.3"
"CENSUS","2022","YEAR","","COUNTY","NEW MEXICO","35","NORTHEAST","30","COLFAX","007","","","00000000","","HAY & HAYLAGE","HAY & HAYLAGE - OPERATIONS WITH AREA HARVESTED","AREA HARVESTED","AREA HARVESTED: (1,000 OR MORE ACRES)","2","(L)"
"CENSUS","2022","YEAR","","COUNTY","NEW MEXICO","35","NORTHEAST","30","COLFAX","007","","","00000000","","HAY & HAYLAGE","HAY & HAYLAGE - OPERATIONS WITH AREA HARVESTED","AREA HARVESTED","AREA HARVESTED: (1.0 TO 24.9 ACRES)","26","15.2"
"CENSUS","2022","YEAR","","COUNTY","NEW MEXICO","35","NORTHEAST","30","COLFAX","007","","","00000000","","HAY & HAYLAGE","HAY & HAYLAGE - OPERATIONS WITH AREA HARVESTED","AREA HARVESTED","AREA HARVESTED: (100 TO 249 ACRES)","10","52.2"
"CENSUS","2022","YEAR","","COUNTY","NEW MEXICO","35","NORTHEAST","30","COLFAX","007","","","00000000","","HAY & HAYLAGE","HAY & HAYLAGE - OPERATIONS WITH AREA HARVESTED","AREA HARVESTED","AREA HARVESTED: (25.0 TO 99.9 ACRES)","17","28.7"
