OBJECTID,Well_IDKey,Well_Name,Well_Depth,Well_Casing_Stickup,Well_Location_Latitude,Well_Location_Longitude,Well_Location_Elevation,Well_OSE_Permit,Well_Type,GlobalID,NMT_ID,IndexDesignation,AquiferCode,ScreenInterval,CreationDate,Creator,EditDate,Editor,x,y
22,61,Botts Ranch 6,285,0.83,35.132347,-106.372909,7008.348,S-1769,DOM,b2332aad-1e7c-4b48-bac3-dd6b85d977f2,BC-0076,Y,,,2024-05-08T21:25:55,ccarsrud_EH,2025-05-30T19:59:54,pheinstein_NRS,-106.372909,35.132347
23,2,Buckboard 2,360,1.14,34.955972,-106.308379,7410.214,E-4316,DOM,7116a6c7-ce0c-4eb1-aa83-6c11a9ee1231,BC-0002,M,325MDER,300 - 360,2024-05-08T21:25:55,ccarsrud_EH,2025-05-30T20:07:10,pheinstein_NRS,-106.308379,34.955972
24,327,Buckboard 3,330,1.8,34.9593417,-106.3087889,7321.721,E-5350,DOM,0869d15b-a709-4455-b74b-ab58a9c4e6ea,BC-0273,Y,325MDER,275 - 315,2024-05-08T21:25:55,ccarsrud_EH,2025-05-30T20:07:58,pheinstein_NRS,-106.3087889,34.9593417
25,3,Canyon Estates 1,305,2.06,35.085908,-106.391488,6525.968,S-435 X,DOM,7e1ce1eb-4486-4058-b2b2-94eda34b481e,BC-0003,M,318YESO,,2024-05-08T21:25:55,ccarsrud_EH,2025-05-30T20:10:50,pheinstein_NRS,-106.391488,35.0859080000001
26,4,Z - Canyon Estates 2,360,1.4,35.087546,-106.388488,6608.959,S-1016,DOM,1115e7a7-0e39-4014-a741-062dfa59958f,BC-0004,Z,211MVRD,300 - 360,2024-05-08T21:25:55,ccarsrud_EH,2025-06-03T14:15:51,pheinstein_NRS,-106.388488,35.087546
28,230,Canyon Estates 4,200,1.67,35.085017,-106.386384,6452.674,S-720,DOM,84c58857-f2f5-4ba0-9be0-3823ebe43b34,BC-0230,Y,318ABO,150 - 200,2024-05-08T21:25:55,ccarsrud_EH,2025-05-30T20:12:43,pheinstein_NRS,-106.386384,35.0850170000001
29,212,Carlito Springs,40,-0.3,35.087931,-106.399657,6698.827,,MW,015f9b00-0db4-492b-95a4-a0660e8639db,BC-0212,M,Travertine,,2024-05-08T21:25:55,ccarsrud_EH,2025-05-30T20:14:39,pheinstein_NRS,-106.399657,35.087931
30,379,Cedar Hill,500,0,35.183198,-106.498026,6055.667,,MW,5667db6c-923c-490f-9a47-4237fe0ee683,BC-0373,M,112SNTF,,2024-05-08T21:25:55,ccarsrud_EH,2025-05-30T20:15:55,pheinstein_NRS,-106.49802579241,35.18319779397
31,83,Columbine Thompson 01,200,0,35.122519,-106.373269,6780.52,S-970,DOM,b1e13588-bdfb-4632-8c92-da232e0bc5d4,BC-0006,Y,,,2024-05-08T21:25:55,ccarsrud_EH,2025-05-30T20:16:51,pheinstein_NRS,-106.373269,35.1225190000001
32,59,Columbine Thompson 02,420,2.16,35.124779,-106.373188,6832.262,S-1102,DOM,3aa55e68-5b4c-48e0-8662-e66721a63ed1,BC-0007,Y,,,2024-05-08T21:25:55,ccarsrud_EH,2025-05-30T20:18:03,pheinstein_NRS,-106.373188,35.124779
